Time(s) Residual_Strain
1.24824965e-02 -1.03183186e-25
1.25225045e-02 -1.03353039e-25
1.25625125e-02 -1.02934475e-25
1.26025205e-02 -1.01927521e-25
1.26425285e-02 -1.00335557e-25
1.26825365e-02 -9.81653115e-26
1.27225445e-02 -9.54268373e-26
1.27625525e-02 -9.21334651e-26
1.28025605e-02 -8.83017421e-26
1.28425685e-02 -8.39513506e-26
1.28825765e-02 -7.91050078e-26
1.29225845e-02 -7.37883491e-26
1.29625925e-02 -6.80297934e-26
1.30026005e-02 -6.18603921e-26
1.30426085e-02 -5.53136630e-26
1.30826165e-02 -4.84254090e-26
1.31226245e-02 -4.12335229e-26
1.31626325e-02 -3.37777804e-26
1.32026405e-02 -2.60996205e-26
1.32426485e-02 -1.82419160e-26
1.32826565e-02 -1.02487349e-26
1.33226645e-02 -2.16509427e-27
1.33626725e-02 5.96329291e-27
1.34026805e-02 1.40902753e-26
1.34426885e-02 2.21695246e-26
1.34826965e-02 3.01547989e-26
1.35227045e-02 3.80002064e-26
1.35627125e-02 4.56604686e-26
1.36027205e-02 5.30911809e-26
1.36427285e-02 6.02490691e-26
1.36827365e-02 6.70922404e-26
1.37227445e-02 7.35804280e-26
1.37627526e-02 7.96752271e-26
1.38027606e-02 8.53403212e-26
1.38427686e-02 9.05416973e-26
1.38827766e-02 9.52478494e-26
1.39227846e-02 9.94299678e-26
1.39627926e-02 1.03062114e-25
1.40028006e-02 1.06121381e-25
1.40428086e-02 1.08588035e-25
1.40828166e-02 1.10445640e-25
1.41228246e-02 1.11681166e-25
1.41628326e-02 1.12285078e-25
1.42028406e-02 1.12251401e-25
1.42428486e-02 1.11577772e-25
1.42828566e-02 1.10265464e-25
1.43228646e-02 1.08319397e-25
1.43628726e-02 1.05748123e-25
1.44028806e-02 1.02563791e-25
1.44428886e-02 9.87820935e-26
1.44828966e-02 9.44221918e-26
1.45229046e-02 8.95066184e-26
1.45629126e-02 8.40611638e-26
1.46029206e-02 7.81147422e-26
1.46429286e-02 7.16992390e-26
1.46829366e-02 6.48493414e-26
1.47229446e-02 5.76023514e-26
1.47629526e-02 4.99979839e-26
1.48029606e-02 4.20781503e-26
1.48429686e-02 3.38867277e-26
1.48829766e-02 2.54693176e-26
1.49229846e-02 1.68729919e-26
1.49629926e-02 8.14603141e-27
1.50030006e-02 -6.62345110e-28
1.50430086e-02 -9.50225750e-27
1.50830166e-02 -1.83234459e-26
1.51230246e-02 -2.70755556e-26
1.51630326e-02 -3.57084239e-26
1.52030406e-02 -4.41723666e-26
1.52430486e-02 -5.24184632e-26
1.52830566e-02 -6.03988388e-26
1.53230646e-02 -6.80669410e-26
1.53630726e-02 -7.53778109e-26
1.54030806e-02 -8.22883454e-26
1.54430886e-02 -8.87575506e-26
1.54830966e-02 -9.47467836e-26
1.55231046e-02 -1.00219983e-25
1.55631126e-02 -1.05143882e-25
1.56031206e-02 -1.09488215e-25
1.56431286e-02 -1.13225896e-25
1.56831366e-02 -1.16333188e-25
1.57231446e-02 -1.18789853e-25
1.57631526e-02 -1.20579280e-25
1.58031606e-02 -1.21688596e-25
1.58431686e-02 -1.22108750e-25
1.58831766e-02 -1.21834585e-25
1.59231846e-02 -1.20864880e-25
1.59631926e-02 -1.19202374e-25
1.60032006e-02 -1.16853767e-25
1.60432086e-02 -1.13829694e-25
1.60832166e-02 -1.10144684e-25
1.61232246e-02 -1.05817092e-25
1.61632326e-02 -1.00869008e-25
1.62032406e-02 -9.53261487e-26
1.62432486e-02 -8.92177230e-26
1.62832567e-02 -8.25762809e-26
1.63232647e-02 -7.54375408e-26
1.63632727e-02 -6.78401991e-26
1.64032807e-02 -5.98257212e-26
1.64432887e-02 -5.14381162e-26
1.64832967e-02 -4.27236966e-26
1.65233047e-02 -3.37308233e-26
1.65633127e-02 -2.45096381e-26
1.66033207e-02 -1.51117852e-26
1.66433287e-02 -5.59012304e-27
1.66833367e-02 4.00157268e-27
1.67233447e-02 1.36089113e-26
1.67633527e-02 2.31771950e-26
1.68033607e-02 3.26517293e-26
1.68433687e-02 4.19781349e-26
1.68833767e-02 5.11026586e-26
1.69233847e-02 5.99724826e-26
1.69633927e-02 6.85360291e-26
1.70034007e-02 7.67432591e-26
1.70434087e-02 8.45459643e-26
1.70834167e-02 9.18980486e-26
1.71234247e-02 9.87557996e-26
1.71634327e-02 1.05078147e-25
1.72034407e-02 1.10826909e-25
1.72434487e-02 1.15967018e-25
1.72834567e-02 1.20466737e-25
1.73234647e-02 1.24297850e-25
1.73634727e-02 1.27435841e-25
1.74034807e-02 1.29860044e-25
1.74434887e-02 1.31553780e-25
1.74834967e-02 1.32504468e-25
1.75235047e-02 1.32703710e-25
1.75635127e-02 1.32147357e-25
1.76035207e-02 1.30835552e-25
1.76435287e-02 1.28772743e-25
1.76835367e-02 1.25967678e-25
1.77235447e-02 1.22433369e-25
1.77635527e-02 1.18187038e-25
1.78035607e-02 1.13250034e-25
1.78435687e-02 1.07647729e-25
1.78835767e-02 1.01409388e-25
1.79235847e-02 9.45680185e-26
1.79635927e-02 8.71601986e-26
1.80036007e-02 7.92258809e-26
1.80436087e-02 7.08081791e-26
1.80836167e-02 6.19531354e-26
1.81236247e-02 5.27094690e-26
1.81636327e-02 4.31283097e-26
1.82036407e-02 3.32629157e-26
1.82436487e-02 2.31683792e-26
1.82836567e-02 1.29013189e-26
1.83236647e-02 2.51956404e-27
1.83636727e-02 -7.91817046e-27
1.84036807e-02 -1.83526154e-26
1.84436887e-02 -2.87242827e-26
1.84836967e-02 -3.89738036e-26
1.85237047e-02 -4.90422674e-26
1.85637127e-02 -5.88715597e-26
1.86037207e-02 -6.84046958e-26
1.86437287e-02 -7.75861511e-26
1.86837367e-02 -8.63621825e-26
1.87237447e-02 -9.46811427e-26
1.87637528e-02 -1.02493782e-25
1.88037608e-02 -1.09753541e-25
1.88437688e-02 -1.16416822e-25
1.88837768e-02 -1.22443255e-25
1.89237848e-02 -1.27795937e-25
1.89637928e-02 -1.32441658e-25
1.90038008e-02 -1.36351102e-25
1.90438088e-02 -1.39499037e-25
1.90838168e-02 -1.41864465e-25
1.91238248e-02 -1.43430767e-25
1.91638328e-02 -1.44185813e-25
1.92038408e-02 -1.44122046e-25
1.92438488e-02 -1.43236547e-25
1.92838568e-02 -1.41531070e-25
1.93238648e-02 -1.39012048e-25
1.93638728e-02 -1.35690577e-25
1.94038808e-02 -1.31582374e-25
1.94438888e-02 -1.26707700e-25
1.94838968e-02 -1.21091267e-25
1.95239048e-02 -1.14762116e-25
1.95639128e-02 -1.07753464e-25
1.96039208e-02 -1.00102535e-25
1.96439288e-02 -9.18503643e-26
1.96839368e-02 -8.30415775e-26
1.97239448e-02 -7.37241523e-26
1.97639528e-02 -6.39491575e-26
1.98039608e-02 -5.37704751e-26
1.98439688e-02 -4.32445039e-26
1.98839768e-02 -3.24298482e-26
1.99239848e-02 -2.13869928e-26
1.99639928e-02 -1.01779657e-26
2.00040008e-02 1.13400928e-27
2.00440088e-02 1.24848682e-26
2.00840168e-02 2.38100685e-26
2.01240248e-02 3.50449554e-26
2.01640328e-02 4.61251293e-26
2.02040408e-02 5.69868145e-26
2.02440488e-02 6.75672252e-26
2.02840568e-02 7.78049267e-26
2.03240648e-02 8.76401918e-26
2.03640728e-02 9.70153475e-26
2.04040808e-02 1.05875112e-25
2.04440888e-02 1.14166920e-25
2.04840968e-02 1.21841232e-25
2.05241048e-02 1.28851831e-25
2.05641128e-02 1.35156096e-25
2.06041208e-02 1.40715262e-25
2.06441288e-02 1.45494656e-25
2.06841368e-02 1.49463910e-25
2.07241448e-02 1.52597152e-25
2.07641528e-02 1.54873172e-25
2.08041608e-02 1.56275560e-25
2.08441688e-02 1.56792820e-25
2.08841768e-02 1.56418455e-25
